100 3
1 1 3 
17 21 1
0 3 3
1 5 1
1 3 2
18 21 1
15 18 2
17 22 1
21 2 1
12 15 1
9 11 2
17 20 3
1 4 1
12 16 3
19 22 1
12 17 2
5 9 1
17 21 3
8 10 3
23 4 3
13 14 1
4 8 2
14 17 3
12 14 1
20 1 2
6 10 1
11 14 1
3 8 2
7 10 2
6 9 3
17 21 1
6 11 1
6 8 1
4 7 2
1 4 2
17 22 3
11 14 1
16 20 3
12 14 1
17 19 2
1 5 3
4 7 2
21 1 1
8 10 3
23 2 1
2 4 3
22 2 1
16 19 1
18 21 1
3 5 3
5 8 2
17 18 2
1 5 1
23 1 3
15 19 2
10 13 2
12 14 2
18 20 3
18 21 2
2 6 1
14 18 3
22 1 3
0 3 3
3 6 2
14 18 3
14 15 3
2 5 1
8 11 3
9 12 3
13 15 2
23 2 2
15 17 1
8 11 1
4 5 2
12 16 3
5 8 1
21 22 2
23 2 1
11 14 2
0 1 3
21 0 2
1 4 3
14 16 1
17 20 3
13 16 2
19 23 1
21 1 3
19 20 3
9 12 1
14 17 1
11 14 3
6 9 1
21 1 2
14 15 1
11 12 2
19 21 1
22 23 1
16 21 3
14 17 3
18 20 3
23 0 3
